Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Критичное отклонение температуры ГВС ниже нормы ночью (мониторинг),ASUPR,2022-06-30 03:35:45.000000,2022-07-08 01:07:11.529000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие освещения в местах общего пользования,EDC,2022-04-15 09:54:17.000000,2022-04-15 10:50:13.150000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-04-19 11:09:27.000000,2022-04-19 11:35:11.708000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-04-22 18:29:58.000000,2022-04-22 19:24:16.053000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-04-28 14:33:27.000000,2022-04-28 16:26:54.991000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-05-04 20:03:54.000000,2022-05-05 01:22:55.172000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-05-04 20:03:54.000000,2022-05-05 01:22:54.443000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-04-30 18:56:30.000000,2022-04-30 19:34:25.018000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Нет связи с УСПД,ASUPR,2022-05-04 21:24:00.000000,2022-05-05 01:42:53.157000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Температура ГВС ниже нормы,ASUPR,2022-05-15 19:24:29.000000,2022-05-15 23:54:16.584000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ХВС в доме,EDC,2022-05-24 10:48:40.000000,2022-05-24 21:58:51.238000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Нет связи с УСПД,ASUPR,2022-05-28 19:12:36.000000,2022-05-28 16:58:05.579000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Температура ГВС ниже нормы,ASUPR,2022-06-02 06:54:46.000000,2022-06-08 03:34:26.852000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствует циркуляция ГВС,ASUPR,2022-05-24 13:25:34.000000,2022-05-24 11:44:27.184000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-05-26 21:27:57.000000,2022-05-26 21:56:40.538000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-06-06 10:22:42.000000,2022-06-06 10:58:00.650000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-08 13:24:24.000000,2022-06-08 13:51:46.085000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-06 21:36:08.000000,2022-06-06 21:50:40.708000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-17 16:27:36.000000,2022-06-17 17:05:19.931000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-17 19:32:25.000000,2022-06-17 19:59:23.486000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отклонение ГВС ниже нормы ночью (мониторинг),ASUPR,2022-06-30 03:35:45.000000,2022-07-08 01:07:11.398000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
